fuel-type,body-style,drive-wheels,engine-type,num-of-cylinders,horsepower,city-mpg,highway-mpg,price
0,1,2,3,1,123,22,25,28176.0
1,3,1,3,2,102,24,30,8558.0
0,3,2,2,2,95,28,33,17950.0
1,0,2,3,2,116,24,30,17669.0
0,3,2,3,2,72,31,39,18344.0
1,3,1,3,1,140,17,20,23875.0
1,2,1,3,2,68,31,38,6669.0
1,3,1,3,2,68,31,38,6692.0
1,4,1,4,2,94,25,31,10198.0
1,1,2,5,0,184,14,16,45400.0
1,1,2,4,3,207,17,25,34028.0
1,3,1,3,2,100,26,32,9995.0
1,3,1,3,2,97,27,34,9549.0
1,4,1,3,2,62,31,37,6918.0
1,3,1,3,2,68,31,38,6692.0
1,2,1,3,2,76,31,38,6855.0
1,2,2,3,2,70,29,34,8238.0
1,3,1,3,2,101,24,28,12945.0
1,2,1,3,2,84,26,32,8845.0
1,3,1,3,2,110,21,28,15510.0
1,2,1,3,2,97,27,34,8949.0
1,3,1,3,2,85,27,34,8195.0
1,3,1,3,2,70,38,43,6575.0
1,2,1,3,2,70,30,37,7198.0
1,2,1,3,2,69,31,37,7799.0
1,2,2,6,6,101,17,23,13645.0
1,1,2,3,2,116,24,30,8449.0
1,3,1,3,2,68,31,38,7395.0
1,3,1,3,2,69,31,37,5499.0
1,3,1,4,2,94,26,32,9960.0
1,4,1,3,2,69,31,37,7349.0
1,3,1,4,2,82,32,37,7126.0
1,2,2,5,3,160,19,25,17199.0
1,4,0,4,2,82,23,29,8013.0
1,3,1,3,2,69,31,37,6849.0
0,3,2,2,2,95,28,33,16900.0
1,3,2,3,3,182,16,22,30760.0
1,4,1,3,2,88,24,30,8921.0
1,3,0,4,2,111,24,29,11259.0
1,3,1,3,1,110,19,24,13295.0
1,3,2,5,5,262,13,17,36000.0
1,3,1,4,2,82,28,33,7775.0
1,3,2,3,2,114,23,28,16845.0
1,3,2,2,2,95,19,24,15580.0
1,3,2,3,2,120,19,27,18280.0
1,2,2,5,3,154,19,26,16500.0
1,3,1,3,2,84,26,32,10245.0
1,2,0,4,2,73,26,31,7603.0
1,3,2,5,3,134,18,23,21485.0
1,2,2,3,2,90,24,29,11048.0
1,3,2,3,2,101,23,29,16925.0
1,3,2,3,2,162,17,22,18420.0
1,2,1,3,2,68,37,41,5389.0
1,3,2,3,2,160,19,25,19045.0
0,3,1,3,2,52,37,46,7775.0
1,2,2,0,3,161,19,24,15998.0
1,4,1,3,2,104.25615763546799,23,31,9295.0
1,3,1,3,2,69,31,37,7499.0
1,3,2,2,2,97,19,24,16630.0
1,3,1,3,2,70,28,34,9258.0
1,4,2,3,2,114,23,28,13415.0
1,3,1,3,2,68,31,38,6695.0
1,0,2,0,2,111,21,27,13495.0
1,4,1,3,2,69,31,37,7999.0
1,4,2,2,2,95,19,24,16695.0
1,1,1,3,2,69,31,37,8249.0
0,3,2,3,1,123,22,25,25552.0
1,2,2,3,2,116,24,30,11549.0
1,3,1,3,2,100,25,31,10345.0
1,0,2,5,0,155,16,18,35056.0
1,2,1,3,2,68,31,38,6795.0
1,2,1,3,2,68,31,38,6095.0
1,3,1,3,2,116,23,30,9279.0
1,3,2,3,3,121,20,25,24565.0
1,3,2,0,2,112,26,29,9298.0
1,2,1,3,2,68,31,38,6229.0
1,2,1,3,2,90,24,29,9980.0
1,2,1,4,2,73,26,31,7053.0
1,2,1,3,2,68,37,41,5572.0
1,3,2,3,3,182,16,22,41315.0
1,2,1,3,2,88,25,32,8499.0
1,3,2,2,2,97,19,24,11900.0
1,2,2,6,6,101,17,23,10945.0
1,3,1,5,3,152,19,25,13499.0
1,2,1,3,2,102,24,30,7689.0
1,3,1,3,2,102,24,30,13950.0
1,2,1,3,2,102,24,30,7957.0
1,1,2,3,2,116,24,30,9639.0
0,3,2,3,3,106,26,27,22470.0
1,3,1,3,1,110,19,25,17710.0
1,3,2,5,0,155,16,18,34184.0
1,3,1,3,2,116,23,30,9279.0
